,plr_nr,plr_name,plz
1306,3200207,Herthaplatz,13158
1309,8100105,Silbersteinstraße,12051
1310,3400829,Arnold-Zweig-Straße,13189
1312,11200514,Landsberger Allee,13055
1314,10200526,Boulevard Kastanienallee,12619
1316,9301228,Schmöckwitz/Rauchfangswerder,12527
1317,5100207,An der Tränke,13591
1318,6200312,Komponistenviertel Lankwitz,12247
1320,6300632,Schweizer Viertel,12205
1327,5300736,Zitadellenweg,13599
1329,6400841,Zehlendorf Eiche,14169
1330,7501133,Fritz-Werner-Straße,12107
1332,5200420,Staakener Straße,13591
1333,12500929,Lübars,13469
1335,6300631,Goerzwerke,14167
1337,1100308,Charitéviertel,10117
1342,11300721,Herzbergstraße,10315
1354,1100416,Arkonaplatz,10115
1357,1100310,Alexanderplatzviertel,10179
1360,6300630,Hindenburgdamm,12207
1371,8301036,Gropiusstadt Mitte,12353
1372,8100101,Hasenheide,10967
1378,8100520,Weiße Siedlung,12057
1386,3500934,Weißenseer Spitze,13086
1390,9200715,Wista,12487
1396,2500836,Stralauer Halbinsel,10245
1406,9502042,Mittelheide,12555
1408,10400939,Alt-Mahlsdorf,12623
1409,11100102,Dorf Falkenberg,13057
1411,5100317,Freiheit,13597
1412,3501037,Rathaus Weißensee,13086
1416,9100409,Landschaftspark Adlershof,12487
1419,8401246,Waltersdorfer Chaussee Ost,12355
1429,6200317,Lankwitz Süd,12249
1466,5100313,Eiswerder,13585
1468,3601142,Falkplatz,13355
1469,11300618,Storkower Bogen,10369
1480,7300619,Grazer Platz,12169
1483,3400830,Kissingenviertel,13189
1485,3100101,Bucher Forst,13127
1527,3400721,Florakiez,13187
1534,10100313,Alt-Marzahn,12685
1537,5100105,Amorbacher Weg,13589
1538,10200420,Gut Hellersdorf,12629
1539,3300413,Karow Ost,13125
1541,11100101,Dörfer Malchow-Wartenberg,13059
1569,7300618,Ceciliengärten,12159
1570,5100206,Griesingerstraße,13589
1592,11200410,Malchower Weg,13051
1603,9401330,Wendenschloß,12557
1662,12601236,Schorfheidestraße,13439
1665,6100206,Stadtpark,12167
1667,11200515,Weiße Taube,13055
1668,11401032,Rosenfelder Ring,10315
1704,4400729,Hundekehle,14193
1716,9100203,Plänterwald Ost,12437
1740,6100207,Mittelstraße,12167
1755,10400837,Kaulsdorf Süd,12623
1766,8100312,Weichselplatz,12045
1768,6200316,Belßstraße,12249
1781,7601339,Tirschenreuther Ring West,12279
1789,3500932,Bühringstraße,13086
1796,1100310,Alexanderplatzviertel,10119
1797,12100102,Hausotterplatz,13409
1826,5200629,Borkumer Straße,13581
1827,8100313,Bouchéstraße,12059
1833,6200421,Königsberger Straße,12207
1840,7601341,Diedersdorfer Weg,12277
1844,5100211,An der Kappe,13591
1868,3400725,Schlosspark,13127
1871,5100312,Eckschanze,13585
1905,7200307,Bayerischer Platz,10825
1930,12400721,Frohnau Ost,13465
1956,12200412,Waldidyll/Flughafensee,13405
1961,11401033,Gensinger Straße,10315
1973,7501032,Imbrosweg,12099
1993,3601347,Helmholtzplatz,10437
2008,1400937,Afrikanische Straße,13351
2020,5200634,Börnicker Straße,13595
2040,11401136,Volkradstraße,10319
2046,3500933,Weißer See,13086
2055,3501038,Hansastraße,13088
2056,3400722,Parkstraße,13156
2069,12400619,Heiligensee,13503
2128,4400830,Forckenbeckstraße,14199
2132,8100207,Rollberg,12053
2141,9100409,Landschaftspark Adlershof,12489
2167,7601237,Kirchstraße,12277
2197,9501939,Bahnhofstraße,12555
2223,9502043,Dammheide,12555
2254,9401534,Altstadt Köpenick,12557
2285,8100313,Bouchéstraße,12045
2304,7100206,Großgörschenstraße,10829
2305,5200421,Spandauer Straße,13591
2317,3601453,Alter Schlachthof,10247
2319,5100101,Hakenfelde Nord,13587
2322,2200207,Gleisdreieck,10963
2351,5100313,Eiswerder,13587
2354,2300418,Reichenberger Straße Ost,10999
2356,3601452,Velodrom,10407
2371,3400723,Garbátyplatz,13187
2391,2100103,Am Berlin Museum,10969
2401,4200204,Angerburger Allee,14055
2448,10100312,Springpfuhl,12683
2450,7601544,John-Locke-Straße,12305
2453,8200831,Buckow West,12349
2473,7601341,Diedersdorfer Weg,12307
2483,11400927,Victoriastadt,10317
2492,10200417,Zossener Straße,12629
2509,3200204,Blankenfelde,13159
2516,11300721,Herzbergstraße,10365
2518,2200211,Chamissokiez,10965
2519,3400722,Parkstraße,13187
2524,7601236,Marienfelder Allee Nordwest,12277
2526,7501030,Machonstraße,12105
2548,4500939,Eisenzahnstraße,10707
2570,1200522,Elberfelder Straße,10555
2583,5100211,An der Kappe,13583
2633,5200630,Wilhelmstadt West,13581
2647,2100105,Prinzenstraße,10969
2681,1300835,Humboldthain Süd,13355
2710,3601245,Ostseestraße,10405
2734,5200528,Weinmeisterhornweg,13593
2741,3100102,Klinikum Buch,13125
2748,11400931,Massower Straße,10315
2776,10100312,Springpfuhl,12681
2801,3300517,Märchenland,13088
2822,5200632,Tiefwerder,13597
2830,1401045,Schwedenstraße,13357
2838,4501146,Barstraße,10713
2862,12500930,Wittenau Süd,13403
2884,6200423,Schütte-Lanz-Straße,12209
2892,4501149,Nikolsburger Platz,10717
2900,8200725,Mohriner Allee Nord,12347
2926,8200622,Jahnstraße,12347
2938,10100315,Bärenstein,12685
2982,12400720,Frohnau West,13465
3015,5300839,Rohrdamm,13629
3090,3200207,Herthaplatz,13127
3112,11501339,Karlshorst West,10318
3149,6100205,Südende,12247
3185,8100416,Alt-Rixdorf,12043
3190,4200205,Flatowallee,14055
3201,3400828,Spiekermann Straße,13189
3212,11100204,Falkenberg West,13057
3242,10200630,Cecilienplatz,12619
3307,4501152,Prager Platz,10779
3314,2400520,Barnimkiez,10249
3323,1200629,Hansaviertel,10555
3329,1200625,Lübecker Straße,10551
3336,3601453,Alter Schlachthof,10249
3337,8100102,Schillerpromenade Nord,12049
3346,1401043,Antonstraße,13347
3352,5200631,Wilhelmstadt Ost,13595
3355,10100314,Auersbergstraße,12685
3363,4300620,Spreestadt,10623
3364,4300412,Schlossgarten,14059
3368,11100206,Wartenberg Nord,13059
3390,4100101,Jungfernheide/Plötzensee,13627
3391,5200525,Pillnitzer Weg,13591
3393,6300630,Hindenburgdamm,12203
3423,12200308,Meller Bogen,13403
3431,4300517,Tegeler Weg,10589
3433,1200625,Lübecker Straße,10559
3440,5400942,Alt-Gatow,14089
3459,11100308,Zingster Straße West,13051
3498,3601451,Anton-Saefkow-Park,10407
3500,5400945,Kafkastraße,14089
3536,8401139,Vogelviertel Süd,12351
3545,1100101,Stülerstraße,10785
3559,7100206,Großgörschenstraße,10965
3624,11100309,Mühlengrund,13053
3626,6400842,Hüttenweg,14195
3674,7501031,Eisenacher Straße,12109
3696,6300524,Berlepschstraße,14163
3715,9300922,Kosmos Viertel,12524
3733,8301037,Gropiusstadt Süd-Ost,12353
3734,7200412,Schöneberger Linse,10829
3753,3701658,Christburger Straße,10405
3878,3601346,Gethsemanekirche,10437
3919,1100414,Nordbahnhof,10115
3980,6400736,Düppel,14163
4055,4501152,Prager Platz,10717
4165,4300413,Klausenerplatz,14059
4184,1200518,Beusselkiez,10553
4233,9401432,Siedlung Kämmereiheide,12559
4276,5100208,Im Spektefeld,13589
4296,12500927,Wittenau Nord,13469
4322,7200410,Feurigstraße,10827
4343,1200628,Lüneburger Straße,10557
4377,5100104,Maselake,13587
4384,10100208,Bürgerpark,12679
4389,11300722,Rathaus Lichtenberg,10365
4428,8401140,Vogelviertel Nord,12351
4470,12100103,Breitkopfbecken,13409
4512,4300620,Spreestadt,10587
4526,11501341,Karlshorst Süd,10318
4527,2500836,Stralauer Halbinsel,10317
4540,11401137,Erieseering,10319
4546,5200419,Am Heideberg,13591
4590,12400617,Alt-Heiligensee,13505
4616,8200729,Britzer Garten,12347
4620,3500932,Bühringstraße,13089
4665,12500926,Wittenau Mitte,13437
4683,6300528,Teltower Damm,14167
4722,12200310,Klixstraße,13403
4742,8401243,Alt-Rudow,12357
4747,4501043,Preußenpark,10707
4790,1400942,Westliche Müllerstraße,13353
4791,6300524,Berlepschstraße,14165
4792,8200623,Park am Buschkrug,12359
4855,7601236,Marienfelder Allee Nordwest,12279
4864,10100311,Marzahner Chaussee,12683
4915,9200818,Spindlersfeld,12555
4960,6200315,Gallwitzallee,12209
5027,1200520,Bremer Straße,10551
5029,3300516,Heinersdorf,13088
5031,8100207,Rollberg,12043
5071,4200203,Olympiagelände,14052
5074,5300737,Gartenfelder Straße,13599
5142,4300624,Savignyplatz,10625
5149,4300416,Amtsgerichtsplatz,14057
5152,4300619,Alt-Lietzow,10587
5157,8100208,Körnerpark,12053
5169,3701659,Immanuelkirchstraße,10405
5292,6300527,Sundgauer Straße,14167
5369,2400624,Weberwiese,10245
5370,7300619,Grazer Platz,12157
5431,1200517,Huttenkiez,10553
5573,4501150,Wilhelmsaue,10715
5588,7601443,Töpchiner Weg,12309
5615,5200527,Maulbeerallee,13593
5639,4500939,Eisenzahnstraße,10709
5657,6400736,Düppel,14129
5662,8401140,Vogelviertel Nord,12359
5793,3601139,Norweger Viertel,10439
5815,9100306,Späthsfelde,12487
5842,11300721,Herzbergstraße,10367
5907,11300826,Frankfurter Allee Süd,10365
5949,10100316,Landsberger Tor,12679
5961,8401241,Blumenviertel,12351
5968,5200422,Werkstraße,13591
6084,7300619,Grazer Platz,10829
6106,7501135,Birnhornweg,12107
6107,3200204,Blankenfelde,13127
6122,2200210,Urbanstraße,10961
6123,3400619,Wilhelmsruh,13156
6175,2200208,Rathaus Yorckstraße,10963
6218,8200831,Buckow West,12305
6239,4400726,Bismarckallee,14193
6284,6300525,Zehlendorf Süd,14165
6287,7501029,Ringstraße,12107
6298,2300417,Reichenberger Straße West,10999
6324,2200209,Viktoriapark,10965
6333,4200308,Branitzer Platz,14050
6337,4501153,Babelsberger Straße,10825
6348,5100209,Westerwaldstraße,13589
6350,5200423,Magistratsweg,13591
6355,1401044,Uferstraße,13357
6483,7100101,Wittenbergplatz,10777
6492,7300619,Grazer Platz,10827
6503,5300840,Nonnendammallee,13599
6613,8100416,Alt-Rixdorf,12055
6618,7601238,Marienfelde Nordost,12277
6634,3400725,Schlosspark,13187
6655,2500726,Hausburgviertel,10249
6657,5100316,Carl-Schurz-Straße,13585
6789,5200527,Maulbeerallee,13591
6828,9100203,Plänterwald Ost,12435
6868,10200628,Neue Grottkauer Straße,12619
6988,1300733,Gesundbrunnen,13357
7056,8100310,Maybachufer,12047
7131,12400722,Hermsdorf West,13465
7184,7100102,Kalckreuthstraße,10777
7191,9501941,Friedrichshagener Straße,12555
7255,7400822,Lindenhofsiedlung,12103
7259,11300723,Bornitzstraße,10365
7276,2400521,Friedenstraße,10243
7288,3100103,Karower Chaussee,13125
7366,10200420,Gut Hellersdorf,12627
7412,9502043,Dammheide,12459
7490,1200517,Huttenkiez,10551
7570,9401431,Allende I,12559
7649,6200311,Alt-Lankwitz,12247
7682,7601341,Diedersdorfer Weg,12279
7704,7501133,Fritz-Werner-Straße,12277
7734,5300840,Nonnendammallee,13629
7759,11401034,Tierpark,10315
7874,10100316,Landsberger Tor,12681
7914,1100102,Großer Tiergarten,10963
8025,6100103,Markelstraße,12163
8084,12100205,Teichstraße,13403
8111,6200314,Kaiser-Wilhelm-Straße,12249
8283,1100309,Oranienburger Straße,10115
8288,1400940,Schillerpark,13407
8291,1100309,Oranienburger Straße,10178
8298,1400938,Kameruner Straße,13351
8348,1100104,Körnerstraße,10785
8351,1300732,Soldiner Straße,13359
8353,1200519,Emdener Straße,10553
8372,1100207,Leipziger Straße,10179
8379,1200623,Stephankiez,10557
8414,1100416,Arkonaplatz,10435
8469,1300836,Humboldthain Nordwest,10115
8545,11401136,Volkradstraße,10315
8652,3500933,Weißer See,13088
8664,1400940,Schillerpark,13349
8693,1300836,Humboldthain Nordwest,13355
8756,1300730,Drontheimer Straße,13359
8885,1300730,Drontheimer Straße,13409
8926,1400939,Glasgower Straße,13349
9037,12400723,Hermsdorf Ost/Waldsee,13465
9096,1401049,Schulstraße,13359
9610,1100415,Invalidenstraße,10119
9905,1100102,Großer Tiergarten,10117
10222,1100312,Heine-Viertel West,10117
12464,1100312,Heine-Viertel West,10178
14309,1100102,Großer Tiergarten,10623
14317,1200626,Thomasiusstraße,10559
14320,1200627,Zillesiedlung,10557
14348,1200626,Thomasiusstraße,10557
14481,1200521,Zwinglistraße,10553
14483,1100102,Großer Tiergarten,10787
14677,1200626,Thomasiusstraße,10551
14887,1200521,Zwinglistraße,10551
15040,1200626,Thomasiusstraße,10555
15249,1200517,Huttenkiez,13353
15439,1200623,Stephankiez,10551
15524,1200517,Huttenkiez,10555
15643,1200627,Zillesiedlung,10559
18295,1400941,Londoner Straße,13349
18298,1401045,Schwedenstraße,13359
18300,1300731,Koloniestraße,13359
18316,1401043,Antonstraße,13353
18317,1401044,Uferstraße,13347
18349,1400937,Afrikanische Straße,13349
18504,1400940,Schillerpark,13409
18512,1300731,Koloniestraße,13409
18648,1401045,Schwedenstraße,13347
18782,1400939,Glasgower Straße,13347
18867,1300733,Gesundbrunnen,13359
18876,1400937,Afrikanische Straße,13405
19307,1400941,Londoner Straße,13407
19331,1400938,Kameruner Straße,13349
19340,1401048,Leopoldplatz,13353
19576,1300835,Humboldthain Süd,13357
20487,1400940,Schillerpark,13347
23155,1400940,Schillerpark,13359
25282,2500830,Niederbarnimstraße,10245
25440,2400522,Richard-Sorge-Viertel,10243
25564,2300315,Lausitzer Platz,10997
25676,2500727,Forckenbeckplatz,10243
25762,2500831,Wismarplatz,10245
25888,2400522,Richard-Sorge-Viertel,10247
26026,2500727,Forckenbeckplatz,10249
26123,2500833,Boxhagener Platz,10243
26124,2500834,Revaler Straße,10243
26125,2100102,Mehringplatz,10963
26201,2400623,Andreasviertel,10179
26248,2100106,Wassertorplatz,10969
26278,2500835,Stralauer Kiez,10317
26885,2400520,Barnimkiez,10178
27796,2400520,Barnimkiez,10407
27866,2500830,Niederbarnimstraße,10243
28880,2500729,Pettenkofer Straße,10367
30279,2200208,Rathaus Yorckstraße,10965
30285,2200211,Chamissokiez,10961
30318,2300314,Oranienplatz,10997
30337,2300417,Reichenberger Straße West,10997
30356,2200209,Viktoriapark,10961
30404,2100104,Moritzplatz,10999
30415,2100105,Prinzenstraße,10999
30497,2300315,Lausitzer Platz,10999
30840,2300418,Reichenberger Straße Ost,10997
31362,2200210,Urbanstraße,10967
31473,2200208,Rathaus Yorckstraße,10961
31914,2300314,Oranienplatz,10969
33731,2300419,Wrangelkiez,12435
34953,2200213,Graefekiez Nord,10961
35035,2200207,Gleisdreieck,10783
36384,3601453,Alter Schlachthof,10407
36453,3400620,Schönholz,13156
36495,3701556,Kollwitzplatz,10119
36640,3601451,Anton-Saefkow-Park,10405
36685,3400827,Trelleborger Viertel,13189
36810,3601348,Senefelderstraße,10435
37271,3601243,Rodenbergstraße,10437
37273,3701555,Sredzkistraße,10435
37348,3601449,Michelangelostraße,10409
37371,3601244,Humannplatz,10409
37372,3701554,Teutoburger Platz,10437
37411,3601139,Norweger Viertel,13187
37465,3701555,Sredzkistraße,10405
37474,3601142,Falkplatz,10435
37603,3601139,Norweger Viertel,13189
37967,3601347,Helmholtzplatz,10435
37975,3601449,Michelangelostraße,10407
38205,3601348,Senefelderstraße,10405
38283,3601449,Michelangelostraße,10405
38533,3601347,Helmholtzplatz,10439
39076,3601142,Falkplatz,10439
40307,3601346,Gethsemanekirche,10439
42084,3701660,Bötzowstraße,10249
44491,3601449,Michelangelostraße,13088
44873,3601245,Ostseestraße,13086
45840,3500935,Behaimstraße,13088
46126,3300515,Blankenburger Süden,13129
46493,3501038,Hansastraße,13053
46682,3300514,Blankenburg,13125
47415,3300517,Märchenland,13089
51189,3300517,Märchenland,13129
52247,3300516,Heinersdorf,13129
52382,3300516,Heinersdorf,13086
56231,3300517,Märchenland,13051
56930,3300515,Blankenburger Süden,13051
60597,3200309,Eddastraße,13129
61513,3400725,Schlosspark,13129
61864,3400827,Trelleborger Viertel,10439
62024,3400831,Pankower Tor,13189
62128,3400620,Schönholz,13187
63155,3400721,Florakiez,13359
68375,3200204,Blankenfelde,13158
74764,3400831,Pankower Tor,13129
76746,3400724,Wolfshagener Straße,13127
80521,3200205,Uhlandstraße,13159
82242,4200310,Fürstenplatz,14050
82249,4200309,Neu Westend,14052
82256,4300622,Ernst-Reuter-Platz,10623
82257,4300414,Schloßstraße,14057
82266,4300621,Richard-Wagner-Straße,10585
82290,4300416,Amtsgerichtsplatz,10627
82319,4300414,Schloßstraße,14059
82328,4300622,Ernst-Reuter-Platz,10587
82339,4200205,Flatowallee,14053
82341,4300622,Ernst-Reuter-Platz,10625
82347,4200308,Branitzer Platz,14059
82348,4200311,Königin-Elisabeth-Straße,14055
82365,4501041,George-Grosz-Platz,10623
82386,4200310,Fürstenplatz,14052
82495,4501041,George-Grosz-Platz,10629
82522,4501044,Ludwigkirchplatz,10719
82545,4400835,Rüdesheimer Platz,14197
82581,4500936,Droysenstraße,10709
82610,4200309,Neu Westend,14050
82623,4200311,Königin-Elisabeth-Straße,14059
82625,4200311,Königin-Elisabeth-Straße,14057
82671,4300414,Schloßstraße,10585
82672,4200311,Königin-Elisabeth-Straße,14050
